generacion,avg,max
355,842035.6875,1726250.0
356,833548.3875,1726250.0
357,820995.1,1667400.0
358,820956.35,1667400.0
359,839968.83125,1667400.0
360,817487.09375,1549200.0
361,825713.18125,1520700.0
362,853052.3375,1523650.0
363,849891.79375,1516300.0
364,852111.0,1693700.0
365,850742.9875,1670700.0
366,857477.2875,1571000.0
367,858278.975,1571000.0
368,845388.01875,1624250.0
369,842381.14375,1624250.0
370,849142.68125,1522550.0
371,860104.41875,1571750.0
372,850989.79375,1648500.0
373,850559.5375,1649200.0
374,863279.05,1549300.0
375,866979.03125,1571900.0
376,882401.4125,1572250.0
377,871710.54375,1572250.0
378,876582.0625,1572250.0
379,877576.03125,1573700.0
380,870185.6875,1621400.0
381,881965.18125,1675300.0
382,880140.6375,1675300.0
383,878831.95,1675300.0
384,866697.9875,1675300.0
385,874551.675,1675300.0
386,871094.7875,1652350.0
387,888028.1375,1603300.0
388,880767.58125,1772800.0
389,897779.125,1682600.0
390,885920.16875,1620250.0
391,906115.4625,1552000.0
392,915946.11875,1572800.0
393,932662.65625,1824050.0
394,944126.9875,1701750.0
395,955587.2375,1701750.0
396,956107.2875,1701750.0
397,952083.0625,1668300.0
398,958156.9,1651950.0
399,962468.675,1748550.0
400,972989.6,1748550.0
401,990970.16875,1671000.0
402,988396.775,1573300.0
403,973635.68125,1703300.0
404,983407.16875,1703300.0
405,965788.8125,1703300.0
406,1003439.925,1670400.0
407,1014524.64375,1749300.0
408,1035454.73125,1755900.0
409,1047559.175,1773650.0
410,1042690.43125,1705200.0
411,1044203.55,1704300.0
412,1055315.7875,1753250.0
413,1076673.225,1704300.0
414,1097315.8875,1751650.0
415,1112277.8375,1850550.0
416,1117272.325,1802700.0
417,1127549.0,1855750.0
418,1142447.94375,1802700.0
419,1140056.8875,1906500.0
420,1148589.09375,1755450.0
421,1156405.99375,1899700.0
422,1172160.94375,1804600.0
423,1179869.9,1804600.0
424,1197497.68125,1804600.0
425,1212894.0,1850650.0
426,1224345.94375,1850650.0
427,1232035.39375,1854100.0
428,1249792.2875,1902300.0
429,1256858.84375,1901650.0
430,1243423.5,1901650.0
431,1269469.8875,1901650.0
432,1276003.575,1901650.0
433,1282109.1,1855600.0
434,1296025.0875,1907000.0
435,1320768.73125,1907000.0
436,1327300.43125,2051700.0
437,1322267.05,1855150.0
438,1329814.3375,1952700.0
439,1338868.59375,1951800.0
440,1362017.5875,1954600.0
441,1379790.45,1952150.0
442,1392617.7,1953750.0
443,1395195.89375,1953150.0
444,1403554.63125,1952450.0
445,1399297.7,2054350.0
446,1428631.7375,2054350.0
447,1431223.34375,2054350.0
448,1452992.89375,2054350.0
449,1464705.75,1954550.0
450,1475843.09375,1955300.0
451,1475940.65,2054100.0
452,1478318.7,2007050.0
453,1498887.3,2001700.0
454,1508353.5375,2005700.0
455,1517935.15,2003650.0
456,1538438.0,2004650.0
457,1549613.6875,2105700.0
458,1562349.05,2053600.0
459,1570641.78125,2056200.0
460,1583378.1875,2005300.0
461,1589122.2375,2057100.0
462,1596238.49375,2007150.0
463,1598137.34375,2106350.0
464,1600494.8375,2058050.0
465,1604852.35,2055650.0
466,1625181.89375,2055650.0
467,1624771.74375,2057700.0
468,1639982.59375,2104100.0
469,1641783.19375,2103850.0
470,1649333.55,2056800.0
471,1649974.2,2105000.0
472,1659930.94375,2056300.0
473,1680707.75,2056800.0
474,1663527.94375,2057450.0
475,1679799.0375,2103350.0
476,1695029.55,2107300.0
477,1693945.75,2107300.0
478,1706420.35,2107150.0
479,1718321.99375,2108050.0
480,1714214.3,2106150.0
481,1729008.95,2108150.0
482,1733121.75,2155100.0
483,1746335.0,2154100.0
484,1755852.65,2108600.0
485,1755750.0,2154950.0
486,1764336.5,2154950.0
487,1775569.45,2156950.0
488,1788054.95,2156950.0
489,1794451.65,2153450.0
490,1795444.75,2156100.0
491,1801115.6,2157850.0
492,1810053.25,2157850.0
493,1810465.35,2157850.0
494,1812808.05,2158200.0
495,1819184.0,2158250.0
496,1817548.65,2157800.0
497,1826683.8,2158050.0
498,1832389.99375,2156900.0
499,1850343.1,2157500.0
